PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
101,7,Great performance on mobile.,2026-05-30 06:41:26,65,27,"#design,#social",0.69
102,4,This app keeps crashing. So annoying.,2026-05-31 09:41:26,122,22,"#mood,#love,#design",0.99
103,9,Worst experience ever.,2026-06-04 00:41:26,134,31,#cleanUI,0.77
104,10,Absolutely love the UX!,2026-06-04 17:41:26,23,27,"#mood,#UX,#fail",-0.03
105,5,Worst experience ever.,2026-06-02 19:41:26,100,37,#love,0.6
106,10,Just another day...,2026-05-29 06:41:26,28,42,#love,-0.66
107,2,Such a smooth interface!,2026-05-28 03:41:26,42,16,#cleanUI,-0.71
108,4,Such a smooth interface!,2026-06-01 00:41:26,94,15,"#mood,#bug,#love",-0.62
109,1,Needs dark mode ASAP!,2026-06-04 02:41:26,47,25,#cleanUI,-0.84
110,9,Just another day...,2026-05-28 21:41:26,96,33,"#AI,#mood,#bug",-0.72
111,3,This app keeps crashing. So annoying.,2026-05-30 13:41:26,93,19,"#social,#tech,#mood",0.47
112,9,This app keeps crashing. So annoying.,2026-05-30 20:41:26,10,42,#mood,-0.22
113,10,Can’t stop using it!,2026-05-28 16:41:26,64,26,"#UX,#love,#fail",0.61
114,4,Worst experience ever.,2026-05-31 04:41:26,148,35,"#bug,#cleanUI",-0.61
115,10,Needs dark mode ASAP!,2026-05-30 23:41:26,30,13,"#tech,#social",0.19
116,2,This app keeps crashing. So annoying.,2026-05-28 22:41:26,101,42,#fail,-0.45
117,6,This app keeps crashing. So annoying.,2026-05-27 22:41:26,89,47,"#bug,#tech,#cleanUI",-0.15
118,4,Just another day...,2026-05-30 00:41:26,136,33,"#social,#bug",-0.7
119,1,This app keeps crashing. So annoying.,2026-05-27 01:41:26,37,30,#social,0.06
120,3,Great performance on mobile.,2026-06-02 01:41:26,95,8,"#UX,#love,#fail",-0.8
121,4,Loving the new update!,2026-05-29 20:41:26,72,48,"#mood,#tech,#AI",0.69
122,6,Great performance on mobile.,2026-06-03 12:41:26,52,33,"#love,#cleanUI,#social",0.09
123,4,Loving the new update!,2026-05-29 20:41:26,83,13,"#UX,#love",-0.97
124,1,Great performance on mobile.,2026-06-02 03:41:26,34,19,"#design,#social",0.41
125,5,Absolutely love the UX!,2026-05-28 09:41:26,46,13,"#love,#UX",-0.31
126,9,Absolutely love the UX!,2026-05-28 22:41:26,29,9,"#cleanUI,#social,#AI",0.23
127,2,This app keeps crashing. So annoying.,2026-06-04 05:41:26,141,48,#fail,0.83
128,4,I’m impressed with the speed.,2026-05-26 08:41:26,138,46,"#mood,#AI",-0.2
129,5,Worst experience ever.,2026-05-28 21:41:26,3,26,"#social,#tech",0.12
130,9,Needs dark mode ASAP!,2026-05-25 22:41:26,11,0,"#AI,#tech",1.0
131,10,This app keeps crashing. So annoying.,2026-06-01 13:41:26,146,32,"#social,#design",0.44
132,5,Just another day...,2026-05-29 12:41:26,64,14,"#UX,#cleanUI,#tech",-0.37
133,8,Great performance on mobile.,2026-06-03 07:41:26,31,25,#UX,0.35
134,5,Great performance on mobile.,2026-05-31 03:41:26,47,23,"#social,#design",0.39
135,8,Such a smooth interface!,2026-05-25 20:41:26,88,22,#design,-0.05
136,6,Absolutely love the UX!,2026-05-30 10:41:26,5,34,"#bug,#design,#UX",-0.54
137,10,Such a smooth interface!,2026-06-03 17:41:26,78,47,"#love,#cleanUI,#social",-0.76
138,9,Absolutely love the UX!,2026-06-03 19:41:26,87,22,"#AI,#social,#tech",0.69
139,4,Can’t stop using it!,2026-05-27 20:41:26,36,49,"#fail,#love",0.9
140,3,Great performance on mobile.,2026-05-29 05:41:26,124,38,"#social,#cleanUI",0.43
141,2,This app keeps crashing. So annoying.,2026-06-03 05:41:26,27,40,#bug,-0.09
142,7,Great performance on mobile.,2026-06-04 06:41:26,31,2,"#love,#tech,#social",-0.83
143,8,Worst experience ever.,2026-05-29 19:41:26,85,21,"#AI,#fail,#cleanUI",0.81
144,7,Such a smooth interface!,2026-06-01 15:41:26,130,9,"#design,#mood,#cleanUI",0.6
145,4,Great performance on mobile.,2026-05-28 08:41:26,114,21,"#mood,#bug,#fail",-0.4
146,3,Needs dark mode ASAP!,2026-05-25 19:41:26,110,12,"#AI,#love,#social",0.72
